	timestamp	url	latitude	longitude	device_id	md5	count	cluster_label
22	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/18879057-19d8-4a9d-9e2e-fe4887098247.jpg	1.350477908	103.7910336	2703	84b8bd8c32ecb73d9203ba8429cf91a3	4.0	1
389	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c4822e60-fd7d-45b1-a50f-2c10c0ecdfbb.jpg	1.29792	103.78205	4706	fd2b3455cea1042bcd3f356f1453c983	1.0	1
388	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/a91a320f-bd19-4d2f-9622-53210d1e1da7.jpg	1.32618	103.73028	4705	2ce7ae8de72b875f3d5473316ff49d82	0.0	1
384	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/b47a72ff-244a-47b6-82b9-5e5719345368.jpg	1.2871	103.79633	4701	cc6da4ebdc9625a0e8ef82869c422925	3.0	1
372	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/57b817e8-fc5f-470d-a84d-a20d416473cd.jpg	1.36728572	103.7794698	2705	9cc1f7659b419d620196d863594ef3bb	6.0	1
370	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/18879057-19d8-4a9d-9e2e-fe4887098247.jpg	1.350477908	103.7910336	2703	84b8bd8c32ecb73d9203ba8429cf91a3	4.0	1
326	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/b6b4e505-c058-4ae5-8d4f-a5f3e5c7856b.jpg	1.332691	103.770278	6712	799981eeb9523ef03bb29a4d3b180bb9	1.0	1
324	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/bf432f7c-1da2-4c7b-b04a-c96d1c462d29.jpg	1.344205	103.78577	6710	fa7b6f74cd1bdb772fac9a17d872e5ea	3.0	1
391	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/11c15daf-3de7-4c88-91d4-45e18d14812f.jpg	1.29939	103.7799	4708	477d3327d1dfa07d60320d2ee900dee2	5.0	1
322	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c1ec61ac-f294-4e41-96d2-4436e2e13c28.jpg	1.349428893	103.7952799	6706	80149cdb03ea108d242e826ed4781aab	3.0	1
309	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/45890682-a18b-47c4-8003-c657268e1f87.jpg	1.31023	103.76438	4714	7544c55d1059a3b34358b728ad035362	5.0	1
306	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/04d4f476-1729-47ee-971c-ee1bd4d58a70.jpg	1.32153	103.75273	4710	f47181f2055f827f3ec62b2dae884a78	3.0	1
305	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c7f17a73-b08d-4dd6-ac5c-19370014f796.jpg	1.312019	103.763002	4709	75d81987cda9c5c95e6d8b5461e924e3	0.0	1
304	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/11c15daf-3de7-4c88-91d4-45e18d14812f.jpg	1.29939	103.7799	4708	477d3327d1dfa07d60320d2ee900dee2	5.0	1
302	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c4822e60-fd7d-45b1-a50f-2c10c0ecdfbb.jpg	1.29792	103.78205	4706	fd2b3455cea1042bcd3f356f1453c983	1.0	1
301	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/a91a320f-bd19-4d2f-9622-53210d1e1da7.jpg	1.32618	103.73028	4705	2ce7ae8de72b875f3d5473316ff49d82	0.0	1
297	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/b47a72ff-244a-47b6-82b9-5e5719345368.jpg	1.2871	103.79633	4701	cc6da4ebdc9625a0e8ef82869c422925	3.0	1
321	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c0bc19b5-aab0-41a7-b783-cf351f06485b.jpg	1.332124	103.81768	6705	5e002960b846472032e7bdc784bdb8fd	3.0	1
285	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/57b817e8-fc5f-470d-a84d-a20d416473cd.jpg	1.36728572	103.7794698	2705	9cc1f7659b419d620196d863594ef3bb	6.0	1
392	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c7f17a73-b08d-4dd6-ac5c-19370014f796.jpg	1.312019	103.763002	4709	75d81987cda9c5c95e6d8b5461e924e3	0.0	1
396	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/45890682-a18b-47c4-8003-c657268e1f87.jpg	1.31023	103.76438	4714	7544c55d1059a3b34358b728ad035362	5.0	1
498	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/bf432f7c-1da2-4c7b-b04a-c96d1c462d29.jpg	1.344205	103.78577	6710	fa7b6f74cd1bdb772fac9a17d872e5ea	3.0	1
496	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c1ec61ac-f294-4e41-96d2-4436e2e13c28.jpg	1.349428893	103.7952799	6706	80149cdb03ea108d242e826ed4781aab	3.0	1
495	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c0bc19b5-aab0-41a7-b783-cf351f06485b.jpg	1.332124	103.81768	6705	5e002960b846472032e7bdc784bdb8fd	3.0	1
483	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/45890682-a18b-47c4-8003-c657268e1f87.jpg	1.31023	103.76438	4714	7544c55d1059a3b34358b728ad035362	5.0	1
480	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/04d4f476-1729-47ee-971c-ee1bd4d58a70.jpg	1.32153	103.75273	4710	f47181f2055f827f3ec62b2dae884a78	3.0	1
479	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c7f17a73-b08d-4dd6-ac5c-19370014f796.jpg	1.312019	103.763002	4709	75d81987cda9c5c95e6d8b5461e924e3	0.0	1
478	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/11c15daf-3de7-4c88-91d4-45e18d14812f.jpg	1.29939	103.7799	4708	477d3327d1dfa07d60320d2ee900dee2	5.0	1
393	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/04d4f476-1729-47ee-971c-ee1bd4d58a70.jpg	1.32153	103.75273	4710	f47181f2055f827f3ec62b2dae884a78	3.0	1
476	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/c4822e60-fd7d-45b1-a50f-2c10c0ecdfbb.jpg	1.29792	103.78205	4706	fd2b3455cea1042bcd3f356f1453c983	1.0	1
471	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/b47a72ff-244a-47b6-82b9-5e5719345368.jpg	1.2871	103.79633	4701	cc6da4ebdc9625a0e8ef82869c422925	3.0	1
459	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/57b817e8-fc5f-470d-a84d-a20d416473cd.jpg	1.36728572	103.7794698	2705	9cc1f7659b419d620196d863594ef3bb	6.0	1
457	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/18879057-19d8-4a9d-9e2e-fe4887098247.jpg	1.350477908	103.7910336	2703	84b8bd8c32ecb73d9203ba8429cf91a3	4.0	1
413	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/b6b4e505-c058-4ae5-8d4f-a5f3e5c7856b.jpg	1.332691	103.770278	6712	799981eeb9523ef03bb29a4d3b180bb9	1.0	1
411	2022-03-09 23:59:52 	https://images.data.gov.sg/api/traffic-images/2022/03/bf432f7c-1da2-4c7b-b04a-c96d1c462d29.jpg	1.344205	103.78577	6710	fa7b6f74cd1bdb772fac9a17d872e5ea	3.0	1
