	count
0	93.0
1	132.0
2	186.0
3	110.0
4	93.0
5	110.0
6	80.0
7	90.0
8	90.0
9	168.0
10	68.0
11	125.0
12	90.0
13	100.0
14	156.0
15	112.0
16	24.0
17	78.0
18	75.0
19	68.0
20	78.0
21	51.0
22	40.0
23	90.0
24	60.0
25	102.0
26	48.0
27	60.0
28	76.0
29	42.0
30	40.0
31	60.0
32	66.0
33	12.0
34	48.0
35	65.0
36	36.0
37	108.0
38	32.0
39	50.0
40	36.0
41	48.0
42	75.0
43	56.0
44	72.0
45	40.0
46	45.0
47	36.0
48	49.0
49	36.0
50	40.0
51	48.0
52	32.0
53	72.0
54	72.0
55	45.0
56	114.0
57	36.0
58	114.0
59	70.0
60	70.0
61	70.0
62	84.0
